Year,Country,Partner Country,Adjusted_value
2009,SGP,CHN,1.0
2009,SGP,HKG,0.0
2009,SGP,JPN,1.0
2009,SGP,KOR,1.0
2009,SGP,MYS,1.0
2009,SGP,SAU,0.0
2009,SGP,THA,1.0
2009,SGP,USA,1.0
2009,CHN,HKG,1.0
2009,CHN,JPN,0.0
2009,CHN,KOR,0.0
2009,CHN,MYS,1.0
2009,CHN,SAU,0.0
2009,CHN,THA,1.0
2009,CHN,USA,0.0
2009,HKG,JPN,0.0
2009,HKG,KOR,0.0
2009,HKG,MYS,0.0
2009,HKG,SAU,0.0
2009,HKG,THA,1.0
2009,HKG,USA,0.0
2009,JPN,KOR,0.0
2009,JPN,MYS,1.0
2009,JPN,SAU,0.0
2009,JPN,THA,1.0
2009,JPN,USA,0.0
2009,KOR,MYS,1.0
2009,KOR,SAU,0.0
2009,KOR,THA,1.0
2009,KOR,USA,0.0
2009,MYS,SAU,1.0
2009,MYS,THA,1.0
2009,MYS,USA,0.0
2009,SAU,THA,0.0
2009,SAU,USA,0.0
2009,THA,USA,0.0
2010,SGP,CHN,1.0
2010,SGP,HKG,0.0
2010,SGP,JPN,1.0
2010,SGP,KOR,1.0
2010,SGP,MYS,1.0
2010,SGP,SAU,0.0
2010,SGP,THA,1.0
2010,SGP,USA,1.0
2010,CHN,HKG,1.0
2010,CHN,JPN,0.0
2010,CHN,KOR,0.0
2010,CHN,MYS,1.0
2010,CHN,SAU,0.0
2010,CHN,THA,1.0
2010,CHN,USA,0.0
2010,HKG,JPN,0.0
2010,HKG,KOR,0.0
2010,HKG,MYS,1.0
2010,HKG,SAU,0.0
2010,HKG,THA,1.0
2010,HKG,USA,0.0
2010,JPN,KOR,0.0
2010,JPN,MYS,1.0
2010,JPN,SAU,0.0
2010,JPN,THA,1.0
2010,JPN,USA,0.0
2010,KOR,MYS,1.0
2010,KOR,SAU,0.0
2010,KOR,THA,1.0
2010,KOR,USA,0.0
2010,MYS,SAU,1.0
2010,MYS,THA,1.0
2010,MYS,USA,0.0
2010,SAU,THA,0.0
2010,SAU,USA,0.0
2010,THA,USA,0.0
2011,SGP,CHN,1.0
2011,SGP,HKG,0.0
2011,SGP,JPN,1.0
2011,SGP,KOR,1.0
2011,SGP,MYS,1.0
2011,SGP,SAU,0.0
2011,SGP,THA,1.0
2011,SGP,USA,1.0
2011,CHN,HKG,1.0
2011,CHN,JPN,0.0
2011,CHN,KOR,0.0
2011,CHN,MYS,1.0
2011,CHN,SAU,0.0
2011,CHN,THA,1.0
2011,CHN,USA,0.0
2011,HKG,JPN,0.0
2011,HKG,KOR,0.0
2011,HKG,MYS,1.0
2011,HKG,SAU,0.0
2011,HKG,THA,1.0
2011,HKG,USA,0.0
2011,JPN,KOR,0.0
2011,JPN,MYS,1.0
2011,JPN,SAU,0.0
2011,JPN,THA,1.0
2011,JPN,USA,0.0
2011,KOR,MYS,1.0
2011,KOR,SAU,0.0
